"preterm_births","smm","gonorrhea"
7.8,196.1,89.2
8.6,204.3,36.2
9.9,203.1,18.1
12.7,364.3,181.3
8.3,NA,NA
6.6,150.6,11.5
8.9,217.9,48.4
8.1,134.5,21.9
7.2,139.1,27
8,194.7,29.9
7.7,159.2,36.4
8.3,176.7,37.9
8.4,217,78
8.7,175.4,114.1
6.2,149.6,48.2
12.6,481,350.1
7,143.2,107.3
9.5,192.8,265.3
6,182.9,68.1
9.3,180.6,54
10.5,305.2,175
6.4,143.7,22.8
7.1,202.4,23.4
8.4,223.3,26
6.5,127.4,NA
13.6,445.8,160.6
11.9,395.4,137.2
11,370.9,276.2
11.5,372.5,393.8
8.1,234.6,235.8
8.5,179.8,138.4
10.2,236.7,221.1
8.1,231,243.4
4.5,79.1,40.5
6.6,158.7,264.7
8,235.5,271.2
7.3,124.2,181.8
8.7,320.3,217.5
9.6,331,320.5
14,494.3,379.3
15,506,392.4
12.6,454.6,301.7
9.4,286.6,140.9
13,442.7,338.3
5.4,100.6,15.5
7.4,177,285.9
15.1,519.1,209.8
11.5,332.8,136.1
13.9,532.3,282.1
12.9,434.4,254.2
11.2,332.3,347.8
12.1,386.4,226.2
9.1,290.4,219.3
9.8,306.5,208.1
10.6,282.7,236
9.8,317.2,195.4
11.7,334.2,215.4
8.5,172.9,38.9
12.7,325.3,107.5
9.5,309.7,239.1
11,284.1,256.4
7.8,139.4,25.7
9.5,307.3,224.3
9.7,291.6,431.3
9.2,253.2,149.6
7.9,163.8,77.9
8.9,248.3,206.1
10,292.7,130
9,301.5,251.5
9.3,344.1,322.8
9.8,335.8,310.8
9.9,273.2,282.3
10,384.4,107.8
10.2,313.4,290.9
9.8,248,329.7
9.6,275.4,261.3
8.8,270.5,204.5
9.3,307.4,330.2
9.9,375.8,154.9
8.1,268.3,88.6
11.6,304.2,67.9
9.8,312.2,169.1
9.5,216.9,132.4
9.9,296.4,184.1
10.6,304,212.7
11.5,292.8,274.6
7.9,192.6,187.7
11.3,245.1,494.7
8.9,262.4,454.1
11.2,235.9,371.4
7.8,133.9,208.3
10.1,177.6,431.1
8.7,127.3,132
9.4,134.7,701.7
8.3,117.9,138.3
8.6,159.3,1149.6
6.6,200.7,360.4
8.8,116.6,116.3
6.9,175,182.1
7.7,NA,217.2
7.3,94.6,309.9
6.3,116.2,282.9
7.9,97.4,153.3
8.1,135.8,162.4
6,104.8,276.1
9.7,162.7,211.1
7.2,103.6,76.5
7.8,138.5,77.3
11,249.9,244
11.1,257.5,351.8
9.4,169.2,196.7
8.3,199,296.4
7,148.6,47.7
9.4,135,165.4
11.9,334.9,198.3
10.7,358,164.3
11.2,398.9,144.1
11.5,371,101.9
7.6,175.1,38.7
12.2,301.2,145.6
11.7,275.7,202.6
9.9,182.9,36.2
10.9,290.5,190.5
9.9,159.7,115.8
6.7,123.7,31.1
7.9,173.3,43.4
8.6,163.4,61
7.6,184.8,71.2
7.2,155.7,26.2
5.9,131.9,38.5
7.3,96.3,29.9
8.2,188.8,63.9
7.4,207.5,85.4
7.2,266.5,107.9
7.4,216.8,104.2
7.2,229.6,69.2
7,162.4,35.7
7.6,157.6,115
13.2,240,119.4
11.1,261,99.6
9.3,184.2,45
8,136.6,39.4
8.5,184.9,56
5.7,183,16.6
9.4,NA,24.9
9.2,161.3,31.9
10.3,189.3,NA
7.2,NA,15.7
6.6,150.7,22.5
7.3,NA,20.4
6.9,195.2,16.7
9.3,162.8,17.2
7.9,176,60.7
7,122.3,17.3
7.8,104.8,35.2
8.4,244.1,76.7
9.9,253.7,72.6
10.8,258.7,48
8.3,183.4,54.7
11,298.3,26.1
8.9,186,92.9
9.7,345.7,98.7
5.8,129.9,NA
8.1,218.1,71
11.2,263.4,158.3
10.2,263.8,225.6
8.2,194.7,192.6
8.2,220.4,166.4
8,146,248
12.2,314.8,230.1
8.4,142.6,22.5
8.7,139.7,29
9.3,173.1,32.8
8.5,206.8,144.5
9.8,143.2,22.4
10.6,238.3,136.5
8.1,117.1,29.2
10.3,210,153.8
9.3,93.1,15.9
9.6,115.3,16.2
12.1,170.7,96.2
8.8,113.1,NA
9.5,129.3,35.5
8.8,157.2,30
9.5,199,131.6
11,208.2,34.2
9.4,123.4,NA
9.2,138.2,NA
