"total_pop","female","hispanic","white","black","other","foreign_born","limited_eng","education","poverty","unemployment","health_ins","medicaid_enroll","late_no_prenatal_care","clinics_and_chc_density","non_pcmd_density"
23532,51,8.9,73.4,5.7,12,19.6,4,2.2,10,5.4,93,5,1.2,0,62.4681285058644
63459,53.6,7.1,69.7,6.8,16.4,46.5,31.5,12.6,16.6,10.6,92.8,36,7,0,13.5520572338045
33146,53.1,12.4,68.7,1.3,17.5,69.5,58.8,12.1,28.1,7.9,88,49.7,8.8,0,73.0103179870874
29229,53.1,24.9,32,29.8,13.4,34.4,32.3,28.6,37.1,20,91.1,66.8,8.4,0.342125970782442,7.18464538643128
14977,58.8,0.5,98.2,0.8,0.5,66.5,47.6,6.8,14.7,8.5,92.6,37.5,5.1,0,15.3568805501769
43565,51.7,7.3,78.7,0.9,13.1,44.5,31.1,15.6,17.8,9.3,89.9,39.4,3.8,0.459084127166303,30.299552392976
28944,55,13.9,52.5,9.1,24.5,47,41.7,23.9,23.7,11.9,86.9,47.4,5.5,0,3.80044223327805
32002,49.1,15.2,47.2,1.2,36.4,46.8,41.7,25,15.8,7.9,88.4,41,5.8,0.312480469970627,7.49953127929504
90834,51.3,15.1,44.9,0.7,39.3,55.4,48.8,29.6,19.3,10.6,86,48.9,4.6,0.220181870224806,6.38527423651936
61820,50.9,10.9,49,0.7,39.4,57.7,49.3,27.8,15.6,9.9,85.6,47.8,4.8,0.161759948236817,6.63215787770948
46700,50,10.2,49,0.6,40.3,45.4,38.8,30.1,16,8.9,89.6,42.8,4.8,0.214132762312634,11.5631691648822
84439,52.4,16.8,64.3,1.7,17.2,34.6,22,14.3,17,8.7,89.6,28,5.9,0.94742950532337,34.2258908798067
56422,46.9,64.1,17.2,3.3,15.2,45,44.5,38.2,28,10.1,75.7,41.6,4.3,0.708943319981568,45.7268441388111
40307,52.5,20.9,60.3,10.3,8.5,16.8,9.2,11.8,15.1,8.2,91.1,18.3,2.5,0.248095864241943,5.95430074180663
72622,49.3,33.6,11.8,1.4,53.2,58.4,60.7,53.5,34.7,11.1,78.9,85.5,3.1,1.51469251741896,22.4449891217537
66124,54.6,19.5,5.8,70.9,3.7,20.6,8.9,24,28.9,17,86.2,35.3,9.5,0,2.11723428709697
74526,51.9,18.5,65.1,5.2,11.3,17.6,8.4,7.5,7.6,6.1,90.8,8.8,1.8,1.74435767383195,50.4521911816011
39383,51.4,21.5,44.2,21.2,13.2,18.9,12,14.6,21.2,9.6,91.7,30.1,3.3,0.253916664550694,36.0561663661986
22033,52.9,14.3,66.2,5.4,14.2,22.4,13.4,9.5,10.2,6.2,93.4,13.7,1.9,0,4.53864657559116
37013,50.5,16.2,49.8,6.9,27,44.6,36.3,19.2,25.4,7.5,84.2,49.2,4.8,0.270175343798125,6.75438359495312
106012,54.6,17.7,22.2,47.5,12.6,47.6,27.2,20.3,20.6,10.6,83.7,40.6,8.3,0.377315775572577,8.1122891748104
52519,51.2,7.5,76.1,4.4,12,39.1,31.2,13.9,23.3,9.1,89.9,39.2,4.5,0,15.0421752127801
40609,50.9,7.8,67.5,1,23.7,48.1,31.7,14.4,14.2,7.2,92.9,34.9,5.1,0.246250831096555,28.5650964072004
48103,51.6,9.1,70.2,12.3,8.4,27.5,13.8,9,7.7,9.7,93.1,18.3,2.9,0,10.1864748560381
20143,51,8.6,85.5,0.3,5.5,28.6,20.8,13.9,19.8,8.7,90.1,36.3,2.3,0,24.3260686094425
87511,54.7,7.9,4.9,82.5,4.7,46.7,14.1,16.3,15.2,9.7,88.7,30.6,11.3,0.228542697489458,6.05638148347065
